bytes_sent_per_sec,bytes_recv_per_sec,total_throughput_bps,outbound_ratio,avg_outbound_packet_size,avg_inbound_packet_size
11897.381656144438,332685.2199348618,344582.6015910062,0.0345269366509274,99.98333333333332,2553.263318112633
15616.51745610618,307354.0496451105,322970.5671012167,0.0483527573310173,146.6734693877551,2538.251223491028
15623.980145179725,323820.24386783753,339444.22401301726,0.0460281219708736,123.938679245283,2360.859826589596
15083.84302718043,316933.9875344,332017.8305615805,0.0454308221991191,123.76547231270358,2314.0652173913045
17471.983488823666,311185.8101830399,328657.7936718636,0.0531616283722391,123.0,2091.121657754011
17552.576511371546,330393.1794323632,347945.7559437347,0.0504463015039905,164.71561338289962,2626.83937007874
14985.5810049003,316172.8391705825,331158.4201754828,0.0452520005288083,126.07833333333332,2466.825347758888
18168.05852738248,314514.24060087086,332682.29912825336,0.0546108361490505,134.21491228070175,2247.8599717114566
17247.64144387459,315012.25603028847,332259.89747416304,0.0519100907903451,132.12898330804248,2243.0296191819466
13337.337934384666,303482.4315964529,316819.76953083766,0.0420975558253048,143.67590618336888,2718.5797872340427
14637.226237435323,307521.9520232342,322159.1782606696,0.0454347640084674,150.32993890020367,2687.623916811092
16458.48812248858,333504.46190037165,349962.95002286026,0.0470292301554021,127.43797856049004,2313.109739368999
13815.848224798772,314702.8681921225,328518.7164169213,0.0420549805365279,136.36594911937377,2619.2524752475247
14217.226661571774,306996.9123068576,321214.1389684293,0.044260899309196,127.54821428571428,2369.1935483870966
19634.62720287813,319486.9287460056,339121.5559488837,0.0578984935001822,185.97560975609755,2661.589108910891
14406.230306901023,311486.7145767951,325892.9448836961,0.044205407122398,138.10836501901142,2604.8192371475952
15476.946241090667,316236.7026259885,331713.6488670792,0.046657550251399,132.25762711864408,2423.113981762918
13318.003875242344,297807.83175756846,311125.83563281083,0.0428058436489349,136.25152129817445,2621.383944153578
16247.318199171676,324897.6962175036,341145.01441667526,0.0476258409549176,131.82182985553771,2440.199108469539
13871.545459338866,311735.7311766079,325607.2766359468,0.0426020745072238,101.89082969432314,2231.333333333333
17137.286330656272,378701.5899621697,395838.876292826,0.0432935907941967,127.43426883308716,2149.34611048478
20903.847807654267,316982.2701007957,337886.11790845,0.061866548223559,158.8265460030166,2172.491156462585
15364.090267420182,316900.6435758396,332264.7338432598,0.0462405085538446,109.31549295774649,2109.1844532279315
12822.684423142202,312240.5530951622,325063.2375183044,0.0394467381825056,90.21199442119944,2166.503438789546
25163.2662551223,315902.4186815801,341065.6849367024,0.0737783581476169,182.6103151862464,2153.663526244953
27281.647335590307,318081.2992447718,345362.94658036216,0.0789941353168359,193.63534361851333,2082.3906856403623
18425.26942079471,312333.56371906307,330758.83313985774,0.0557060540028081,188.07505070993915,2602.2317880794703
10051.685780753209,313179.402406227,323231.0881869802,0.0310975217053954,83.38815789473684,2430.2384615384617
9618.707332301963,311420.9190126083,321039.6263449103,0.0299611217525155,80.71166666666667,2423.340030911901
16409.044219760162,314042.18895838375,330451.2331781439,0.0496564774836659,121.04545454545456,2065.266666666667
14130.642257601685,317134.2101722396,331264.8524298413,0.0426566300467823,122.91394148020656,2402.883058470765
8427.022043685018,291008.0016381752,299435.0236818602,0.0281430740468037,81.82080924855491,2403.9868852459017
27711.73592716736,338325.35812517547,366037.0940523428,0.0757074525436064,204.3970802919708,2185.8951406649617
17721.662210347928,302403.6375466796,320125.29975702753,0.0553585181296152,180.57287449392712,2532.7221297836936
13497.464094796762,329826.3406408683,343323.80473566503,0.0393140933096347,100.98363095238096,2213.9692923898533
31191.15501165633,317110.5378025691,348301.69281422545,0.0895521200590111,293.4487895716946,2401.928035982009
20519.45394624669,340771.8442795318,361291.2982257785,0.0567947638014344,181.2175438596491,2475.3679653679656
9956.806873259384,308568.2935154089,318525.10038866824,0.0312590965707567,83.68227424749163,2290.74741506647
18923.943336553573,315221.339907705,334145.2832442586,0.0566338783921132,161.59152542372885,2291.613275613276
26795.99610817344,298227.31564284634,325023.3117510198,0.0824433052626704,266.37204724409446,2440.870340356564
42672.01246640701,338826.85491698247,381498.8673833895,0.1118535757631058,323.9489489489489,2122.814126394052
16642.379020687604,314455.9274124787,331098.3064331663,0.0502641623268071,155.22920517560073,2429.9754977029097
21115.971973278687,315086.7246955519,336202.6966688306,0.062807265326841,148.27323162274618,2096.198423127464
27724.42843687749,316361.55794083216,344085.98637770966,0.0805741283704703,204.4241982507289,2051.5538461538463
16247.31779918377,312296.61612203665,328543.9339212204,0.0494524966730313,163.77245508982037,2593.9440789473683
13388.447648074776,288851.5564034613,302240.0040515361,0.0442974042767411,116.0603448275862,2338.647342995169
21478.50014784476,345726.2598513385,367204.7599991832,0.0584918892333872,201.3828996282528,2575.992614475628
13589.20811270484,289952.3275847493,303541.5356974541,0.0447688586719462,116.00846023688663,2243.685582822086
4985.176901956377,276534.589914416,281519.7668163724,0.0177080883460949,61.48655256723716,2943.025316455696
10106.286547133162,369022.4537749193,379128.7403220525,0.0266566088831681,94.67161410018552,2943.513428120063
21567.299142874363,306109.4947123476,327676.79385522194,0.0658188176499416,124.32685714285714,1623.5793901156678
17001.753515368986,411964.12923007394,428965.8827454429,0.0396342790866148,110.12483912483911,2026.7321603128053
33625.21867432664,360995.92014577467,394621.1388201013,0.0852088633033305,189.0502232142857,1563.6612209802236
