row,timestamp,prediction,score,reasons,bytes_sent_per_sec,bytes_recv_per_sec,total_throughput_bps,outbound_ratio,avg_outbound_packet_size,avg_inbound_packet_size
1,2026-08-25 01:04:54,anomaly,-0.13457176559759554,"Unusual amount of data being uploaded, Network bandwidth is heavily saturated",473461.83573683107,65532.45196456148,538994.2877013925,0.8784171679369133,4058.4602026049206,230.7728894173603
2,2026-08-25 01:04:59,anomaly,-0.1256862834943292,"Unusual amount of data being uploaded, Network bandwidth is heavily saturated",437854.8187825395,26429.605823498296,464284.4246060378,0.9430745370234533,2789.830073349633,124.32310469314079
3,2026-08-25 01:05:04,anomaly,-0.06964208151437212,Unusual amount of data being uploaded,130668.86465785417,7380.525134457095,138049.38979231127,0.946537068033689,3760.5444444444443,86.11036036036036
4,2026-08-25 01:05:09,normal,0.08939436793633082,,5052.166608308084,5668.822149085611,10720.988757393694,0.47124073372652997,687.5526315789474,488.6
5,2026-08-25 01:05:14,normal,0.05633299564421829,,3006.0932996257334,2444.6794078635007,5450.772707489235,0.5514985601023927,337.2173913043478,268.40425531914894
6,2026-08-25 01:05:20,normal,0.08797093913317566,,7711.16832077934,9384.46978044553,17095.63810122487,0.45106057317783593,940.2142857142857,728.1515151515151
7,2026-08-25 01:05:25,normal,0.05788040396513533,,1568.5141654374902,1010.8418225308607,2579.3559879683507,0.6081030198057082,538.3333333333334,226.2608695652174
8,2026-08-25 01:05:30,normal,0.06912978441806622,,2996.4149713793704,2707.2583102773706,5703.673281656741,0.5253482840638803,1288.4166666666667,607.3478260869565
9,2026-08-25 01:05:35,normal,0.10462430796135386,,6618.701198067465,5558.823509443706,12177.524707511171,0.543517780258332,1065.125,511.17857142857144
10,2026-08-25 01:05:40,normal,0.06348892626489261,,1735.3140066430065,2068.5656792802392,3803.8796859232457,0.4561958184599694,894.6,666.5
11,2026-08-25 01:05:45,normal,0.05300940654521452,,3504.7341208037988,2647.037932077433,6151.7720528812315,0.5697113109323237,2257.125,568.25
12,2026-08-25 01:05:50,normal,0.06523381950937035,,2966.586886012665,2131.0834100885263,5097.6702961011915,0.58194954041684,512.8333333333334,307.0
13,2026-08-25 01:05:56,normal,0.06160736198467642,,2115.7753098481135,2181.521393704159,4297.296703552272,0.49235029736232805,451.875,328.88235294117646
14,2026-08-25 01:06:01,normal,0.1127464907369215,,10939.565831913293,8982.82512909382,19922.390961007113,0.5491090830073881,1235.4222222222222,550.0
15,2026-08-25 01:06:06,normal,0.10288422541543912,,3329.8891302113616,1421.752603767928,4751.64173397929,0.7007870787898663,1221.0714285714287,270.3333333333333
16,2026-08-25 01:06:11,normal,0.1353901831591462,,5657.029168819189,2518.2047571728863,8175.2339259920755,0.6919715350081193,1259.8695652173913,368.54285714285714
17,2026-08-25 01:06:16,anomaly,-0.010575891169337548,,57991.028465286916,8947.847297122671,66938.87576240959,0.8663280911845332,5003.766666666666,217.48356807511738
18,2026-08-25 01:06:21,anomaly,-0.050277085710979885,Sending unusually large data packets,61769.883050216944,9853.762004856053,71623.645055073,0.8624230587918378,7114.511111111111,254.08955223880596
19,2026-08-25 01:06:26,normal,0.06077944130763119,,1081.144908481621,822.7873523105555,1903.9322607921765,0.5678484107579462,557.4,265.125
20,2026-08-25 01:06:32,normal,0.07060551572586327,,1025.7534666698368,773.935611113503,1799.6890777833398,0.5699614890885751,761.1428571428571,287.14285714285717
21,2026-08-25 01:06:37,normal,0.08174921339941837,,3975.2208840063354,3856.670146867153,7831.8910308734885,0.5075684618613725,1209.1176470588234,604.3030303030303
