dwell_mean,dwell_std,dwell_median,flight_mean,flight_std,flight_median,pp_mean,pp_std,pp_median,r_letter,r_digit,r_space,r_backspace,r_enter,r_modifier,r_other,typing_rate
0.0885852116804856,0.0262296996195037,0.0796470642089843,0.1402689543637362,0.194751570928566,0.0997815132141113,0.2023172378540039,0.1820206741228565,0.1592576503753662,0.9285714285714286,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,5.32294276229792
0.1003666400909423,0.0324124232353809,0.0878152847290039,0.125273733139038,0.1568679855144097,0.0778999328613281,0.1860414112315458,0.1396436031554767,0.1379505395889282,0.8285714285714286,0.0,0.1428571428571428,0.0,0.0,0.0,0.0285714285714285,5.533239927021859
0.0970865885416666,0.0315617495335899,0.0861158370971679,0.1367485645489815,0.1572790551180465,0.0778999328613281,0.1944839159647623,0.1439248157924027,0.1423048973083496,0.7307692307692307,0.0,0.2115384615384615,0.0384615384615384,0.0,0.0,0.0192307692307692,5.242633243368016
0.0981201298382817,0.0306987450366786,0.0861158370971679,0.1595150675092424,0.1958629571186655,0.1026527881622314,0.2058034837245941,0.1828088717145334,0.1459412574768066,0.7142857142857143,0.0,0.1836734693877551,0.0816326530612244,0.0,0.0,0.0204081632653061,4.960233494878108
0.0980126063028971,0.0344375029575127,0.085854172706604,0.1965756863355636,0.1950486261938727,0.1341590881347656,0.2370143050239199,0.1943304894230097,0.1885806322097778,0.7209302325581395,0.0,0.1860465116279069,0.0697674418604651,0.0,0.0,0.0232558139534883,4.319610682174643
0.1032688285029211,0.0385605391798015,0.0907011032104492,0.1811348813952821,0.1799860874920547,0.1288156509399414,0.2356391861325218,0.1810074399288145,0.1912556886672973,0.6744186046511628,0.0,0.1860465116279069,0.1162790697674418,0.0,0.0,0.0232558139534883,4.34481862127015
0.1006184868190599,0.0327563575008503,0.0892438888549804,0.1533206833733452,0.1639430378836494,0.1062145233154296,0.2148005644480387,0.1525864304851798,0.1801059246063232,0.6956521739130435,0.0,0.1956521739130435,0.0652173913043478,0.0,0.0,0.0434782608695652,4.758936387569421
0.1030998080968856,0.0279936538617697,0.0881659984588623,0.7592583136125044,2.1263516642204894,0.0728456974029541,0.6563324451446533,1.8611389443487072,0.1411435604095459,0.75,0.0,0.1875,0.0,0.0,0.0,0.0625,1.6251926513119082
0.0975066546736092,0.0300434602257184,0.0845918655395507,0.1322713149221319,0.1783683382697161,0.0710353851318359,0.1768935918807983,0.1561895132579902,0.1237047910690307,0.7586206896551724,0.0,0.2413793103448276,0.0,0.0,0.0,0.0,5.855013031858231
0.1005480238731871,0.0321204368117139,0.0847003459930419,0.1479537992766409,0.1754774741222177,0.0822286605834961,0.1980257915413898,0.1647460259625094,0.1411941051483154,0.8085106382978723,0.0,0.1914893617021276,0.0,0.0,0.0,0.0,5.159626544006146
0.0986674002238682,0.0327436405430179,0.0837358236312866,0.1926238536834716,0.1952315137666789,0.1030819416046142,0.2413056129362525,0.1923223847188303,0.1629443168640136,0.7142857142857143,0.0,0.2142857142857142,0.0476190476190476,0.0,0.0,0.0238095238095238,4.245198573864338
0.0919234082102775,0.0302598581859589,0.0808914899826049,0.2273625834234829,0.2163465132151825,0.1295711994171142,0.2949973940849304,0.2184311795326191,0.2127532958984375,0.6666666666666666,0.0,0.1818181818181818,0.1212121212121212,0.0,0.0,0.0303030303030303,3.495793592343059
0.0905655714181753,0.0272884045353379,0.0837073326110839,0.2003078316197251,0.1831529848428461,0.1361465454101562,0.2560188648028251,0.1841495794679838,0.1939022541046142,0.725,0.0,0.175,0.1,0.0,0.0,0.0,4.006115043244687
0.0993566950973199,0.0345135147731698,0.0895743370056152,0.1557008955213758,0.1571560957546142,0.1237537860870361,0.2060560931762059,0.1587047602976541,0.1503167152404785,0.7142857142857143,0.0,0.2040816326530612,0.0612244897959183,0.0,0.0,0.0204081632653061,4.954152617367069
0.0864116350809733,0.0374910967737893,0.080717921257019,0.3464738130569458,0.2681137244372058,0.3304208517074585,0.3058838446935017,0.2642563160958671,0.1622332334518432,0.7142857142857143,0.0,0.1428571428571428,0.1428571428571428,0.0,0.0,0.0,3.814083963262841
0.1019281148910522,0.0370666740224178,0.0855934619903564,0.2036661836836073,0.255261540953372,0.0772382020950317,0.2532194075377091,0.2375590882672138,0.1415033340454101,0.8333333333333334,0.0,0.125,0.0416666666666666,0.0,0.0,0.0,4.12084630880503
0.1014156991785222,0.0331536998803889,0.0873878002166748,0.2505006525251601,0.3144183022634643,0.0824651718139648,0.3055601865053177,0.3018805204145338,0.162524938583374,0.8181818181818182,0.0,0.1515151515151515,0.0303030303030303,0.0,0.0,0.0,3.3749488498301234
0.1024816758704908,0.0316640311114509,0.0873878002166748,0.2324606550150904,0.2887349743729169,0.0974540710449218,0.3054830208420753,0.2842789071058181,0.1942677497863769,0.7575757575757576,0.0,0.1515151515151515,0.0303030303030303,0.0303030303030303,0.0,0.0303030303030303,3.3758013691147903
0.0968392372131347,0.0271019231299207,0.091737151145935,0.0994388035365513,0.0817305941237388,0.093419075012207,0.1554536554548475,0.0836863006137016,0.1100220680236816,0.8,0.0,0.2,0.0,0.0,0.0,0.0,7.147539296262094
0.1094804893840443,0.0382914140749105,0.0924372673034668,0.1133968085050582,0.095100117211246,0.0966593027114868,0.18343566712879,0.0972167820279581,0.161860704421997,0.8181818181818182,0.0,0.1363636363636363,0.0,0.0454545454545454,0.0,0.0,5.71109786889763
0.0550236701965332,0.0204111791488673,0.0423693656921386,4.862920522689819,4.7809226512908936,4.862920522689819,4.882577538490295,4.8450847864151,4.882577538490295,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3072147832113698
0.1041135946909586,0.0278774374803894,0.0941774845123291,0.1137749065052379,0.0975388904633235,0.095515489578247,0.1790400062288556,0.0972331764064509,0.1544888019561767,0.8,0.0,0.2,0.0,0.0,0.0,0.0,5.984296995940846
0.1045674383640289,0.0346883805180682,0.0896749496459961,0.1567303466796875,0.1740032677673566,0.1053304672241211,0.2114941626787185,0.1663584518694099,0.1706060171127319,0.7575757575757576,0.0,0.1515151515151515,0.0909090909090909,0.0,0.0,0.0,4.876021101190273
0.1060336135154546,0.0371256142452733,0.0897998809814453,0.1632271111011505,0.1718910135594298,0.1090517044067382,0.2136683974947248,0.1641124365220896,0.1754575967788696,0.7674418604651163,0.0,0.1395348837209302,0.0697674418604651,0.0232558139534883,0.0,0.0,4.791581421556739
0.1020772457122802,0.0292844849637387,0.1108174324035644,0.214108657836914,0.2027071700292559,0.0950145721435546,0.2493437358311244,0.184428231050251,0.1311373710632324,0.875,0.0,0.125,0.0,0.0,0.0,0.0,4.583460414787309
0.092558889389038,0.0256147710618169,0.0851061344146728,0.1626309589906172,0.1867274842085742,0.080375075340271,0.232280797958374,0.1785304974526196,0.1508774757385254,0.7692307692307693,0.0,0.1538461538461538,0.0769230769230769,0.0,0.0,0.0,4.477339535342795
0.0936861708760261,0.0271883267923563,0.0876858234405517,0.1882075292092782,0.274174412917581,0.0825347900390625,0.252787459281183,0.2577075541970009,0.1508774757385254,0.78125,0.0,0.125,0.0625,0.03125,0.0,0.0,4.083501877234809
0.0718585968017578,0.0173158532509375,0.0734775066375732,0.1793389797210693,0.1448493007214945,0.1156001091003418,0.2511975765228271,0.1299996601737188,0.2045438289642334,0.8333333333333334,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,4.777116151401055
0.0943890076417189,0.0326052390191374,0.085227370262146,0.1268838592197584,0.1240217777666284,0.065906286239624,0.2023556995391845,0.1248789849611313,0.1443698406219482,0.6923076923076923,0.0,0.2307692307692307,0.0769230769230769,0.0,0.0,0.0,5.139464825395799
0.0958428496406191,0.031469956814331,0.0878928899765014,0.157816900147332,0.2013960793427809,0.0858185291290283,0.2223436151232038,0.1956062095485017,0.1420916318893432,0.7209302325581395,0.0,0.2325581395348837,0.0465116279069767,0.0,0.0,0.0,4.60462749623917
0.1034838013027025,0.0336679059959564,0.096503734588623,0.1528843972418043,0.2051464428880907,0.0824604034423828,0.2148482322692871,0.1928152488833073,0.1561646461486816,0.7391304347826086,0.0,0.217391304347826,0.0434782608695652,0.0,0.0,0.0,4.757880534669638
0.1033227163202622,0.0350684635306633,0.0926735401153564,0.1261701874616669,0.1153049849153762,0.0863234996795654,0.1948970112146116,0.1152887033063333,0.1643846035003662,0.8076923076923077,0.0,0.173076923076923,0.0192307692307692,0.0,0.0,0.0,5.231521185383956
0.0965700149536132,0.0297547903198577,0.0890997648239135,0.1387875141241611,0.1240540148328089,0.1064913272857666,0.2051882135107162,0.1246549655753855,0.1799044609069824,0.7291666666666666,0.0,0.2083333333333333,0.0416666666666666,0.0,0.0,0.0208333333333333,4.977267350160654
0.1007380932569503,0.0290923971298412,0.0918405055999755,0.1478407382965088,0.1545546221413672,0.0974414348602294,0.2085468566164057,0.1442342834773936,0.172114610671997,0.75,0.0,0.2083333333333333,0.0208333333333333,0.0,0.0,0.0208333333333333,4.897108555432142
0.1037670102986422,0.0272898941479448,0.0968974828720092,0.1658047139644622,0.3031426996266808,0.083423376083374,0.2210227500560671,0.2687469839917363,0.1538162231445312,0.7954545454545454,0.0,0.2045454545454545,0.0,0.0,0.0,0.0,4.62964022343364
0.1076983213424682,0.0299363165040157,0.1002227067947387,0.1890072345733642,0.3251456894193185,0.083423376083374,0.2283929059671801,0.2847330197720262,0.1352999210357666,0.75,0.0,0.2272727272727272,0.0,0.0,0.0,0.0227272727272727,4.480243419209042
0.1204500198364257,0.0064952373504638,0.1204500198364257,0.0347144603729248,0.0,0.0347144603729248,0.1121795972188313,0.0260789123858767,0.0985763072967529,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.885702626765264
0.1104074584113227,0.0415949107445009,0.102040410041809,0.1969581567324125,0.1990743397227432,0.1013798713684082,0.2526163213393267,0.1889987862862857,0.1795361042022705,0.6111111111111112,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0555555555555555,4.191429610715852
