row,timestamp,prediction,score,reasons,dwell_mean,dwell_std,dwell_median,flight_mean,flight_std,flight_median,pp_mean,pp_std,pp_median,r_letter,r_digit,r_space,r_backspace,r_enter,r_modifier,r_other,typing_rate
1,2026-07-19 11:23:13,normal,0.10837227258785304,,0.10362062555678347,0.027614744341887376,0.09620332717895508,0.11334869169419812,0.13232157175460638,0.0822288990020752,0.16850813575412915,0.12664996595123912,0.1363067626953125,0.8297872340425532,0.0,0.1702127659574468,0.0,0.0,0.0,0.0,6.063440948190216
2,2026-07-19 11:23:17,normal,0.0988238971554416,,0.09993914195469447,0.026210855621261207,0.09537315368652344,0.17525628954172134,0.359758454070546,0.08393299579620361,0.20586604873339334,0.30728542293050165,0.1299198865890503,0.7959183673469388,0.0,0.20408163265306123,0.0,0.0,0.0,0.0,4.958726024102025
3,2026-07-19 11:23:21,normal,0.09802647808527737,,0.0979941338300705,0.02456996889484393,0.09183156490325928,0.17833951115608215,0.36301371002019706,0.08815515041351318,0.19684475026232132,0.30620743174992576,0.12301874160766602,0.7916666666666666,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,5.1882338461335475
4,2026-07-19 11:23:25,normal,0.09531015924774483,,0.09660175572270932,0.02557592650999961,0.08976578712463379,0.18365610390901566,0.5677082845278624,0.05984067916870117,0.21738022698296441,0.4846177973798086,0.12667083740234375,0.8043478260869565,0.0,0.17391304347826086,0.0,0.0,0.0,0.021739130434782608,4.702461840295767
5,2026-07-19 11:23:29,normal,0.10377859984040166,,0.09583875627228708,0.02795890996163409,0.08996200561523438,0.2741007896570059,0.6898482015631269,0.061943650245666504,0.3043723553419113,0.6315181877750591,0.13081598281860352,0.7272727272727273,0.0,0.15151515151515152,0.030303030303030304,0.0,0.030303030303030304,0.06060606060606061,3.388119787822266
6,2026-07-19 11:24:21,anomaly,-0.028367600545297744,"Letter key ratio, Space key ratio, Backspace ratio",0.08813645289494441,0.03720534201393688,0.07636308670043945,0.24355187018712363,0.2569518233707748,0.1640455722808838,0.3361711899439494,0.24515097772533104,0.25343942642211914,0.38461538461538464,0.0,0.07692307692307693,0.5384615384615384,0.0,0.0,0.0,3.2225644723272096
7,2026-07-19 11:24:41,normal,0.056769582224786674,,0.08384639024734497,0.015896208170115868,0.08309602737426758,0.12320249730890448,0.12237856078404284,0.08103466033935547,0.20725453983653674,0.11915036665365476,0.166595458984375,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,5.263619758435686
8,2026-07-19 11:24:45,normal,0.05726238698121705,,0.08208315947960163,0.016007898149202497,0.08109283447265625,0.17661569736622,0.18305596750147554,0.09142327308654785,0.2515839764050075,0.17963637603177043,0.17304682731628418,0.7931034482758621,0.0,0.1724137931034483,0.034482758620689655,0.0,0.0,0.0,4.116773653529354
9,2026-07-19 11:24:49,normal,0.05689093088219466,,0.08103419752681956,0.01622158726080779,0.08095657825469971,0.18154193460941315,0.18083021533829086,0.11691439151763916,0.256871678612449,0.17795462595672923,0.17538213729858398,0.8235294117647058,0.0,0.14705882352941177,0.029411764705882353,0.0,0.0,0.0,4.010963901775577
10,2026-07-19 11:24:53,anomaly,-0.18214737667241215,"Gap variability, Interval variability, Letter key ratio, Space key ratio, Backspace ratio",0.08126261017539284,0.015651448782667648,0.08352899551391602,0.6789110700289408,1.5523344717143837,0.1802288293838501,0.40663305918375653,1.1544776522688738,0.09382402896881104,0.36,0.0,0.04,0.6,0.0,0.0,0.0,2.5616871111208397
11,2026-07-19 11:24:58,anomaly,-0.3017775480100158,"Key hold time (avg), Gap between keys (avg), Gap variability, Letter key ratio, Space key ratio, Backspace ratio",0.0740557610988617,0.018102489132839863,0.07872986793518066,1.0213678904942103,1.9550455650259426,0.19425153732299805,0.15654008729117258,0.7338349153222878,0.031928062438964844,0.09375,0.0,0.0,0.90625,0.0,0.0,0.0,6.489539091564707
12,2026-07-19 11:25:06,normal,0.04211783183071244,,0.08525678515434265,0.01132305915825583,0.08865952491760254,0.16231002126421248,0.04770586545023553,0.1602771282196045,0.24971202441624232,0.04476466572231734,0.2599375247955322,0.875,0.0,0.125,0.0,0.0,0.0,0.0,4.5767004834021385
13,2026-07-19 11:25:10,normal,0.051431837996689656,,0.08880577087402344,0.013325639697638472,0.08934950828552246,0.14643148422241212,0.07629159927133791,0.12516999244689941,0.23523725509643556,0.0699738523130042,0.23432111740112305,0.8461538461538461,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,4.421068421214368
14,2026-07-19 11:25:14,normal,0.05239100220776072,,0.08829787165619606,0.01353053150553726,0.08852624893188477,0.13945597126370385,0.0888067351257409,0.11875391006469727,0.22795562517075313,0.08769869212541209,0.1988307237625122,0.8372093023255814,0.0,0.16279069767441862,0.0,0.0,0.0,0.0,4.491266767567706
15,2026-07-19 11:25:18,normal,0.06549230472542716,,0.09034175222570245,0.018416936714700436,0.08854448795318604,0.14094812371010004,0.09700383030196828,0.11619281768798828,0.22807313675104185,0.10201894419951936,0.19786596298217773,0.8181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,4.486524930248341
