row,timestamp,prediction,score,reasons,inter_press_mean,inter_press_std,inter_press_min,inter_press_max,inter_press_median,dwell_mean,dwell_std,dwell_median,flight_mean,flight_std,flight_median,event_count,press_count,release_count,key_press_rate,pause_count,pause_mean,pause_max,max_same_key_streak,most_common_key_ratio,unique_key_count,char_key_count,letter_key_count,digit_key_count,space_count,enter_count,backspace_count,delete_count,tab_count,arrow_key_count,modifier_key_count,function_key_count,special_key_count,correction_key_ratio
1,2026-06-02 17:44:26,normal,0.18071460036701326,,0.2499090830485026,0.28862518752194016,0.08013534545898438,1.533728837966919,0.1704035997390747,0.09727437973022461,0.029859738782987904,0.09391212463378906,0.19437084197998047,0.29131762250738613,0.10531222820281982,50,25,25,4.115028470322651,1,1.533728837966919,1.533728837966919,2,0.2,12,0,21,0,3,0,1,0,0,0,0,0,0,0.04
2,2026-06-02 17:44:30,normal,0.18108056364541675,,0.26089819481498316,0.2618933593101418,0.08013534545898438,1.533728837966919,0.18918061256408691,0.09721869077437963,0.026990304816386226,0.08751702308654785,0.21103218293959095,0.26670657145025545,0.12241339683532715,78,39,39,3.9003745724863523,1,1.533728837966919,1.533728837966919,2,0.15384615384615385,14,0,30,0,6,0,3,0,0,0,0,0,0,0.07692307692307693
3,2026-06-02 17:44:34,normal,0.1704344427948653,,0.24006559209125797,0.17671600501005535,0.030376195907592773,0.7985563278198242,0.19271087646484375,0.09807745421805032,0.029511952690027002,0.08652329444885254,0.1855835481123491,0.18265605191577539,0.12131547927856445,84,42,42,4.220256264936644,0,0,0,2,0.14285714285714285,17,0,31,0,6,0,5,0,0,0,0,0,0,0.11904761904761904
4,2026-06-02 17:44:38,normal,0.14665008794676998,,0.20216922370754942,0.15404529825537572,0.030376195907592773,0.7985563278198242,0.1416943073272705,0.10762927532196045,0.035424830552046635,0.08896422386169434,0.14263416625357964,0.16377579116324117,0.09009504318237305,100,50,50,5.007450579842,0,0,0,2,0.12,17,0,41,0,6,0,3,0,0,0,0,0,0,0.06
5,2026-06-02 17:44:42,normal,0.15019245513457874,,0.2404064379240337,0.4115737837187036,0.06910061836242676,2.658161163330078,0.13342821598052979,0.11127342933263534,0.03467776262037171,0.10017919540405273,0.20752968788146972,0.45476828010340903,0.08117711544036865,79,39,40,3.9068279771336507,1,2.658161163330078,2.658161163330078,2,0.1794871794871795,16,0,32,0,4,0,3,0,0,0,0,0,0,0.07692307692307693
6,2026-06-02 17:45:02,anomaly,-0.033171971892030916,"dwell_mean: 0.0000, dwell_median: 0.0000, press_count: 111.0000, key_press_rate: 29.0335, max_same_key_streak: 111.0000, most_common_key_ratio: 1.0000, letter_key_count: 111.0000",0.030585765838623047,0.0027466173627462833,0.022577285766601562,0.0420536994934082,0.029924631118774414,0,0,0,0,0,0,111,111,0,29.033473436615928,0,0,0,111,1.0,1,0,111,0,0,0,0,0,0,0,0,0,0,0.0
7,2026-06-02 17:45:06,anomaly,-0.03868747845070142,"dwell_mean: 0.0000, dwell_median: 0.0000, event_count: 144.0000, press_count: 143.0000, key_press_rate: 29.5082, max_same_key_streak: 143.0000, most_common_key_ratio: 1.0000, letter_key_count: 143.0000",0.030485230262833413,0.00304629522156562,0.022577285766601562,0.03984808921813965,0.029866456985473633,0,0,0,0,0,0,144,143,1,29.508226072334885,0,0,0,143,1.0,1,0,143,0,0,0,0,0,0,0,0,0,0,0.0
8,2026-06-02 17:45:14,normal,0.156642055428316,,0.18632149696350098,0.13425909059906266,0.07866764068603516,0.48358774185180664,0.12723469734191895,0.10981039206186931,0.02327277932384851,0.10570073127746582,0.13959785870143346,0.14597761039825144,0.08078122138977051,24,12,12,5.60304239804589,0,0,0,1,0.16666666666666666,9,0,10,0,2,0,0,0,0,0,0,0,0,0.0
9,2026-06-02 17:45:19,normal,0.18778297859229082,,0.20585028330485025,0.15258084291006377,0.07866764068603516,0.685004711151123,0.15227603912353516,0.103223983446757,0.029845807906270286,0.09732639789581299,0.15537261962890625,0.15349376547772908,0.10456836223602295,61,31,30,5.019829541857064,0,0,0,2,0.1935483870967742,14,0,25,0,6,0,0,0,0,0,0,0,0,0.0
10,2026-06-02 17:45:23,normal,0.18520994855162537,,0.2170403071812221,0.15738742086772492,0.07866764068603516,0.685004711151123,0.1564793586730957,0.10109759701622857,0.029422742230145616,0.09297692775726318,0.1683743641926692,0.15855741977126034,0.11202096939086914,72,36,36,4.694793358902262,0,0,0,2,0.2222222222222222,15,1,27,0,8,0,0,0,0,0,0,0,0,0.0
